n,k,d
105,8,6
137,8,7
173,8,8
188,8,9
227,12,11
230,8,10
240,12,12
276,8,11
288,18,13
292,12,14
295,8,12
326,8,13
347,8,14
365,12,16
368,8,15
382,12,17
399,12,18
512,18,19
512,18,23
